Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение Восстановление	ASAYA Спрей для волос 15 в 1 Термозащитная сыворотка с кератином для легкого расчесывания несмываемый уход для волос		Aqua, Amodimethicone, Cetrimonium Chloride, Trideceth-3,Trideceth-15, Glycerin, Polyquaternium-37, Behentrimonium Chloride, Lysine, Histidine, Arginine, Aspartic Acid, Threonine, Serine, Glutamic Acid, Proline, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine, Propylene Glycol, Prunus Persica Fruit Extract, Polyquaternium-10, PEG-40 Hydrogenated Castor Oil, Oenothera Biennis Oil, Retinyl Palmitate, Tocopheryl Acetate, Salvia Officinalis Leaf Extract, Aloe Barbadensis Leaf Juice, Lotus Japonicus Extract, Bambusa Arundinacea Leaf Extract, Panthenol, PEG-7 Glyceryl Cocoate, Argania Spinosa Kernel Oil, Hydrolyzed Keratin, Lactic Acid, Parfum, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate.	РФ/СНГ	Не подойдёт кудряшкам 	Высокая 
Спрей	Фен ●	Пленки, смягчение и распутывание	Комплексный уход (увлажнение, питание, восстановление)	Barex Olioseta Oro Di Luce  Cristalli liquidi  Флюид "Жидкие Кристаллы"		Aqua (Water), Cetearyl Alcohol, Dimethicone, Marine Collagen, Seaweed Essence, Lanolin Alcohol, Glycerin, Isopropyl Myristate, Isopropyl Palmitate, Isostearic Acid, Isostearyl Alcohol, Fragrance, Phenoxyethanol, Disodium ED CI 73360 (FD&C Red No. 30)	ЕС	Не подходит для кудряшек	Высокая
Масло	Нет		Питание	Bielita Professional  Organic Hair Care  Масло-эликсир с фитокератином для всех типов волос		Изопропилпальмитат, масло плодов Olea Europaea (оливковое), масло Prunus Amygdalus Dulcis (сладкого миндаля), масло Persea Gratissima (авокадо), масло Sesamum Indicum (кунжута), масло семян Simmondsia chinensis (жожоба), масло косточек Argania Spinosa, растительное масло, масло корня Cyperus Esculentus (земляного миндаля), изопропилмиристат, масло зародышей Triticum vulgare (пшеницы), токоферилацетат, БГТ, парфюмерная композиция, АМП-изостеариламинокислоты пшеницы/кукурузы/сои, лимонен 	РФ/СНГ	Без силиконов, подходит для кудрявого волоса	Средняя
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	BOUTICLE  Argan Repair Elixir-oil  Эликсир на основе масла арганы 		Cyclopentasiloxane, C12-15 Alkyl Benzoate, Dimethiconol, Dimethicone, Argania Spinosa Kernel Oil, Tocopheryl Acetate, CI 26100 (Red 17), CI 47000 (Yellow 11), Linalool, Hexyl Cinnamal, Parfum (Fragrance)	ЕС	Кудряшкам не подойдет	Высокая
Спрей	Фен ●		Восстановление	CHI  44 Iron Guard Thermal Protection Spray  Термозащитный спрей сильной фиксации		Aqua/Water/Eau, Sodium Polystyrene Sulfonate, Alcohol Denat., Propanediol, Polysorbate 20, Hydrolyzed Silk, Phenoxyethanol, Caprylyl Glycol, Hexylene Glycol, Potassium Sorbate, Hydrolyzed Wheat Protein PG-Propyl Silanetriol, PPG-20 Methyl Glucose Ether, Fragrance (Parfum), Benzyl Benzoate, Butylphenyl Methylpropional, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Hexyl Cinnamal, Silica, Alumina, Titanium Dioxide, Citric Acid	США	В составе нет силиконов, кудряшкам подойдет, есть простой спирт в составе, не подойдет сухим волосам	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	CHI  Keratin Silk Infusion  Шелковая инфузия, жидкий шелк с кератином масло 		Cyclopentasiloxane, Dimethiconol, Hydrolyzed Keratin, Argania Spinosa Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Ceratonia Siliqua Seed Extract, Polyquaternium-7, Zea Mays (Corn) Starch, Hydrolyzed Silk, Aqua/Water/Eau, C12-15 Alkyl Benzoate, Fragrance (Parfum), Hexyl Cinnamal, Linalool, Butylphenyl Methylpropional, Geraniol, Citronellol, Limonene, Citral	США	Сильная термозашита, кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Восстановление	CHI  Silk Infusion  Гель шелковая Инфузия 		Cyclopentasiloxane, Dimethiconol, C12-15 Alkyl Benzoate, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Hydrolyzed Wheat Protein, Hydrolyzed Silk, Aqua/Water/Eau, Fragrance (Parfum), Benzyl Benzoate, Butylphenyl Methylpropional, Hexyl Cinnamal	США	Сильная термозащита, кудряшкам не подойдет	Высокая
Спрей	Нет		Увлажнение	Christophe Robin Hydrating Leave-In Mist with Aloe Vera Увлажняющий спрей		Aqua/Water/Eau, Propanediol, Aloe Barbadensis Leaf Juice, Glycerin, Phenoxyethanol, Polyglyceryl-4 Caprate, Hydrogenated Starch Hydrolysate, Behenamidopropyl Dimethylamine, Linum Usitatissimum (Linseed) Seed Extract, Lactic Acid, Fragrance (Parfum), Saccharide Isomerate, Ethylhexylglycerin, Limonene, Linalool, Potassium Sorbate, Alpha-Isomethyl Ionone, Citral, Citric Acid, Sodium Citrate, Sodium Hydroxide	UK		Высокая
Крем	Нет		Увлажнение Питание	Christophe Robin Hydrating Leave-In Cream with Aloe Vera Увлажняющий крем для волос		Aqua/Water/Eau, Aloe Barbadensis Leaf Juice, Cetearyl Alcohol, Ethylhexyl Pelargonate, Propanediol, Shea Butter Ethyl Esters, Ethylhexyl Stearate, Glycerin, Cetearyl Glucoside, Fragrance (Parfum), Butyrospermu Parkii (Shea) Butter, Brassica Campestris/Aleurites Fordi Oil Copolymer, Sodium Benzoate, Glyceryl Stearate, Jojoba Esters, Phytantriol, Xanthan Gum, Cucumis Sativus (Cucumber) Fruit Extract, Potassium Sorbate, Linum Usitatissimum (Linseed) Seed Extract, Agave Americana Leaf Extract, Saccharomyces Cerevisiae Extract, Helianthus Annuus (Sunflower) Seed Wax, Sodium Stearoyl Glutamate, Sodium Pca, Sodium Phytate, Limonene, Linalool, Citric Acid, Moringa Oleifera Seed Oil, Polyglycerin-3, Alpha-Isomethyl Ionone, Leuconostoc/Radish Root Ferment Filtrate, Citral, Coumarin, Sodium Hydroxide, Tocopherol.	UK		Высокая
Спрей	Фен (слабая) ●	Антистатик, пленки	Увлажнение	Compliment  Argan oil & Ceramides  Спрей-восстановление для сухих и ослабленных волос		Aqua, Glycerin, Polyacrylamidopropyltrimonium Chloride, Propylene Glycol, Polyquaternium-22, PPG-1-PEG-9 Lauryl Glycol Ether, Polysorbate 20, Phenoxyethanol, PEG‑8, PEG‑8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium Polyacrylate, Parfum, Argania Spinosa Kernel Oil, Citric Acid, Disodium EDTA.	РФ/СНГ	Можно использовать кудряшкам	Средняя
Спрей	Фен ●	Пленки, защита от внешних факторов	Комплексный уход (увлажнение, восстановление)	Compliment  Blondie Mania  Спрей нейтрализатор желтизны		Aqua, Glycerin, Propylene glycol, Hydrolyzed Keratin, Silicone Quaternium-16, Undeceth-11, Butyloctanol, Undeceth-5, PEG-12 Dimethicone, PEG-40 Hydrogenated Castor Oil, Parfum, Phenoxyethanol, Panthenol, Avocado Oil Glycereth-8 Esters, Almond Oil Gl	РФ/СНГ	Не подходит для кудряшек	Средняя
