Тип	Термозащита 	Доп функции	Уход  (увлажнение/ питание/ восстановление)	Наименование	Фото	Состав  (внимание! Составы взяты с сайтов маркетплейстов, при нахождении несоответсвия просьба сообщить)	Производство	Комментарий	ч
Спрей	Фен ●	Антистатик, пленки	Восстановление	Estel professional Haute Couture Batiste  Спрей-термозащита для волос 		Aqua, PVP/VA Copolymer, Hydrolyzed Wheat Protein, Hydrolyzed Silk, PEG/PPG-15/15 Dimethicone, Diazolidinyl Urea, Methylparaben, Propylparaben, Cetrimonium Chloride, Polysorbate20, Parfum, Butylphenyl Methylpropional, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Aminomethyl Propanol	РФ/СНГ	Не подойдет кудряшкам	Средняя
Спрей	Фен ●	Антистатик, пленки, разглаживание	Поверхностный уход 	Estel professional Otium Winteria Двухфазный спрей для волос, антистатик эффект		Aqua, Isododecane, Cyclopentasiloxane, Behentrimonium Chloride, Distearoylethyl Hydroxyethylmonium Methosulfate, Polysorbate 20, Silicone Quaternium-18, Trideceth-6, Trideceth-12, PEG-12 Dimethicone, Dimethiconol, Parfum, Limonene, Linalool, Citronellol, Geraniol, Coumarin, C12–15 Alkyl Benzoate, Sodium PCA, Lactic Acid, Betaine, Ethylhexyl Methoxycinnamate, Rubus Chamaemorus Seed Oil, Inulin, Propylene Glycol, Vaccinium Vitis-Idaea Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, PEG-35 Castor Oil, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Retinyl Palmitate, Tocopherol, Inositol, Calcium Pantothenate, Linoleic Acid, Biotin, Decyl Glucoside, Cetearyl Isononanoate, Ceteareth-20, Cetearyl Alcohol, Glyceryl Stearate, Glycerin, Ceteareth-12, Cetyl Palmitate, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, BHT.	РФ/СНГ	18-МЕА (убрали в новой версии состава)	Средняя
Спрей	Браш ●●	Пленки, защита от внешних факторов	Поверхностный уход Питание	Estel professional Vita Терапия Двухфазный лосьон-спрей для повреждённых волос		Aqua, Disiloxane, Cyclopentasiloxane, Dimethiconol, Phenyl Trimethicone, Persea Gratissima(Avocado)Oil, Parfum, Limonene, Linalool, Butylphenyl Methylpropional, Citronellol, Geraniol, PEG/PPG-15/15 Dimethicone, Cetrimonium Chloride, PEG-12 Dimethicone, Laurdimonium Hydroxypropyl Hydrolyzed Silk, Laurdimonium Hydroxypropyl Hydrolyzed Colladen, Hydrolyzed Keratin, CitricAcid, Polysorbate 20, Chitosan, Diazolidinyl Urea, Methylparaben, Propylparaben, C.I. 61565, C.I. 60725	РФ/СНГ	Подходит для пушистых волос, кудряшкам не подойдет	Средняя
Спрей	Фен ●	Антистатик, пленки, разглаживание	Поверхностный уход Питание	Estel professional  18+ Увлажняющий спрей термозащита для волос, лёгкое расчёсывание		Aqua, Isododecane, Cyclopentasiloxane, Dimethiconol, C12-15 Alkyl Benzoate, Behentrimonium Chloride, Lactic Acid, Silicone Quaternium-18, Trideceth-6, Trideceth-12, PEG-12 Dimethicone, Phenyl Trimethicone, Parfum, Benzyl Salicylate, Hexyl Cinnamal, Linalool, Citronellol, Geraniol, аlpha-Isomethyl Ionone, Limonene, Behentrimonium Methosulfate, C10-40 Isoalkylamidopropylethyldimonium Ethosulfate, Cetyl Alcohol, Sodium PCA, Betaine, Ethylhexyl Methoxycinnamate, PEG/PPG-15/15 Dimethicone, Argania Spinosa Kernel Oil, Phenoxyethanol, Acetamidoethoxyethanol, Etidronic Acid, Hydrolyzed Keratin, Hydrolyzed Silk, Gossypium Herbaceum (Cotton) Seed Oil, Methylparaben, Oryza Sativa Extract, Glycine Soya Protein, Triticum Vulgare (Wheat) Germ Extract, PEG-40 Hydrogenated Castor Oil, Propylene Glycol, Tetrasodium EDTA, Glycerin, Sorbitol, Panthenol, Carboxymethyl Chitin, Sodium Hyaluronate, Niacinamide, Cаffeine, Diazolidinyl Urea, Propylparaben, CI 60730	РФ/СНГ	Кудряшкам не подойдет, есть 18-МЕА	Средняя
Масло	Утюг ●●●	Пленки, разглаживание	Поверхностный уход 	Estel professional  Curex Brilliance  Жидкий шелк для всех типов волос		 Disiloxane, Cyclopentasiloxane, Dimethiconol, Dimethicone, C12-15 Alkyl Benzoate, Tocopheryl Acetate, Parfum, Limonene, Linalool, Geraniol	РФ/СНГ	Кудряшкам не подойдет	Средняя
Масло	Утюг ●●●	Пленки, разглаживание	Поверхностный уход 	Estel professional  Curex Brilliance  Флюид "Блеск-эффект" c термозащитой		Сyclopentasiloxane, dimethicone, amodimethicone, parfum, hexyl cinnamal, benzyl salicylate, linalool, alpha-isomethyl ionone, eugenol, geraniol, limonene.	РФ/СНГ	Кудряшкам не подойдет	Средняя
Сыворотка	Нет	Не термозащита, уход	Увлажнение	Estel professional  Curex therapy  Сыворотка для секущихся кончиков		Aqua;Panthenol;Polysorbate 20;Hydroxyethylcellulose;Chitosan;Glycerin;Diazolidinyl Urea;Methylparaben;Propylparaben;Lactic Acid;Parfum;Limonene;Butylphenyl Methylpropional;Hexyl Cinnamal;Linalool;Citronellol;Cetrimonium Chloride  	РФ/СНГ	Для любого типа	Средняя
Спрей	Фен ●	Антистатик, пленки	Комплексный уход (увлажнение, питание, восстановление)	Estel professional  Curex versus winter  Спрей-уход защита от холода		Aqua, Laurdimonium Hydroxypropyl Hydrolyzed Collagen, Cetrimonium Chloride, Glycerin,  PEG/PPG-15/15 Dimethicone, Panthenol, Cetearyl Alcohol, PEG-40 Hydrogenated Castor Oil, Diazolidinyl Urea, Methylparaben, Propylparaben, Parfum, Linalool, Hydroxycitronellal, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene, C.I. 60730	РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Фен ●	Антистатик, пленки	Восстановление	Estel professional   Airex Cпрей-термозащита для волос легкая фиксация		Aqua, PVP/VA Copolymer, Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein, Laurdimonium Hydroxypropyl Hydrolyzed Silk Protein, PEG/PPG-15/15 Dimethicone, Diazolidinyl Urea, Methylparaben, Propylparaben, Cetrimonium Chloride, Parfum, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene,   Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Aminomethyl Propanol.	РФ/СНГ	Для пушистых волос, легкая фиксация. Не подойдет кудряшкам	Средняя
Крем	Фен ●	Пленки, защита от внешних факторов	Поверхностный уход 	Estel Secrets Эликсир для волос Регенерация  для поврежденных волос Экстравосстановление		Aqua, Acrylates/Palmeth-25 Acrylate Copolymer, Polyurethane-14, AMP-Acrylates Copolymer, Cyclopentasiloxane, Dimethiconol, Dimethicone, Ceteareth–20, Hydrolyzed Keratin, Phenyl Trimethicone, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben, Polyquaternium-10, Aminomethyl Propanol, Glycerin, Hydrolyzed Ceratonia Siliqua Seed Extract, Zea Mays (Corn) Starch, Polyquaternium-7, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Potassium Sorbate, Simmondsia Chinensis (Jojoba) Seed Oil, Parfum, Linalool, Limonene, Hexyl Cinnamal, Citronellol.	РФ/СНГ		Средняя
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Garnier Fructis Преображение Масло-эликсир тройное восстановление		Cyclopentasiloxane, dimethiconol, argania spinosa oil/argania spinosa kernel oil, camellia oleifera seed oil, limonene, linalool, benzyl alcohol, geraniol, citronellol, hexyl cinnamal, parfum/fragrance.	ЕС РФ/СНГ	Кудряшкам не подойдет	Средняя
Спрей	Нет	Смягчение, распутывание, антистатик, пленки	Комплексный уход (увлажнение, питание, восстановление)	Garnier Fructis  SOS Кератин  Сыворотка-спрей для поврежденных волос 		aqua / water, glycin soja oil / soybean oil, candelilla cera / candelilla wax, phyllanthus emblica fruit extract, stearyl alcohol, sorbitan oleate, behentrimonium chloride, ppg-1 trideceth-6, isopropyl alcohol, propylene glycol, propylene glycol dicaprylate/dicaprate, hydrolyzed corn protein, hydrolyzed soy protein, hydrolyzed wheat protein, caprylic /capric triglyceride, caprylyl glycol, citric acid, quaternium-87, polyquaternium-11, polyquaternium-37, polysorbate 20, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, sodium benzoate, phenoxyethanol, linalool, coumarin, limonene, parfum / fragrance.	ЕС РФ/СНГ	Можно использовать кудряшкам	Средняя
Флюид	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Giovanni 2chic Frizz be gone Anti-frizz hair serum Сыворотка для выпрямления и против пушения волос		Циклопентасилоксан, диметикон, токоферол (витамин Е), пантенол (провитамин B5), отдушка (включая эфирные масла), экстракт листьев эшшольции калифорнийской (Eschscholtzia californica), экстракт крапивы двудомной (Urtica dioica), экстракт плодов шиповника (Rosa canina), экстракт листьев розмарина (Rosmarinus officinalis), экстракт плодов бергамота (Citrus aurantium bergamia).	США		Высокая
Крем	Фен ●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Giovanni  2chic Ultra Sleek Несмываемый кондиционер и стайлинг эликсир для ультра гладких волос с бразильским кератином и аргановым маслом		Аква (очищенная вода), глицерин, стеариловый спирт, цетиловый спирт, пантенол (провитамин В-5), диметикон, токоферилацетат (витамин Е), * ядро арганиновой спинозы (арган), гидролизованный кератин пауллиниана кукана (бразильский какао) экстракт [фито-кератин], * экстракт аспалатуса линеариза (ройбос), * cocos nucifera (кокосовое) масло, экстракт семян макадамии ternifolia (macadamia), * butyrospermum parkii (масло ши), полисорбат 60, бензоат натрия, лимонная кислота , бензиловый спирт, феноксиэтанол, природный аромат	США	Не подходит для кудряшек	Высокая
Спрей	Нет		Увлажнение Питание	Giovanni 2chic Ultra-Moist Super Potion Увлажняющий спрей для разглаживания волос 		Вода (очищенная), глицерин, пантенол (провитамин B5), токоферилацетат (витамин Е), ксантановая камедь, феноксиэтанол, полисорбат 20, лимонная кислота, отдушка, бензоат натрия, медный комплекс хлорофиллина, сок листьев алоэ вера (Aloe barbadensis), масло авокадо (Persea gratissima), экстракт плодов личи (Litchi chinensis), подсолнечное масло (Helianthus annuus), экстракт киноа (Chenopodium quinoa), масло ши (Butyrospermum parkii), подсолнечное масло (Helianthus annuus)	США		Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Gisou Honey Infused Hair Oil Масло для волос с медом		Cyclopentasiloxane, Dimethiconol, Ethylhexyl Methoxycinnamate, Mel (Honey), Fragrance (Parfum), Benzyl Salicylate, Linalool, Hexyl Cinnamal, Citronellol, Alpha-Isomethyl Ionone, Hydroxycitronellal, Limonene, Geraniol.	ЕС		Высокая
Крем	Фен (слабая) ●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Gkhair  Leave-In Bombshell Cream  Несмываемый крем для блонда 		вода, цетиарил спирт, глицерин, масло кокоса, миристиловый спирт, стеарамидопропил диметиламин, бегентримониум хлорид, кватерниум-70, гидролизованный кератин(джувексин), гидропропил фосфат, изопропил миристат, молочная кислота, парфюм, изопропиловый спирт, цетримониум хлорид, поликватерниум-10, октадецил ди-т-бутил-4-гидроксигидроциннамат, IC 60730, ПЭГ-90М, токоферил ацетат, гидролизованные протеины сои, ДМДМ хидантоин, дисодиум ЭДТА, бензотриазолил додецил п-кресол, гидролизованный плод ацеролы, гидролизованный грейпфрут, стеариловая кислота, иодопропинил бутилкарбамат, пигмент базовый синий 99, пигмент базовый красный 51, д-лимонен, линалол.	США	Можно использовать кудряшкам	Высокая
Крем	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение	GKhair  Thermal Style Her Крем-термозащита для волос		Aqua, Dimethicone, Polyquaternium-37, Glyceryl Stearate, PEG-100 Stearate ,Caprylyl Glycol, Propylene Glycol, Dicaprylate/Dicaprate, Dimethicone,Phenoxyethanol,Parfum,Hexylene Glycol ,Butylene Glycol ,PPG-1 Trideceth-6 ,ArganiaSpinosa Kernel Oil ,Acetamide MEA ,Decyl Glucoside , Panthenol,Hydrolyzed Keratin ,Triticum Vulgare (Wheat)Germ Acid ,Cocoyl Sarcosine ,Sodium Cocoyl Collagen Amino Acid, Sorbitol, Triticum Vulgare (Wheat) Germ Oil, Glycerin, Polysorbate 20, HydrolyzedGlycosaminoglycans, Tocopheryl Acetate, SimmondsiaChinensis (Jojoba) Seed Oil, Polysorbate 80, Linoleic Acid, Linolenic Acid, Tocopherol, Benzyl Benzoate, Linalool, Benzyl Salicylate, Limonen.	США	Кудряшкам не подойдет	Высокая
Крем	Нет	Пленки, защита от внешних факторов	Поверхностный уход 	Glynt Malibu Smoothing Cream Крем для волос   		Aqua, Benzophenone-4, C13-14 Isoparaffin, Dimethiconol, Ethanolamine, Ethylhexylglycerin, Laureth-7, Mica, Phenoxyethanol, Polyacrylamide, Propylene Glycol, Trisiloxane, Citronellol, Parfum, CI 77891.	ЕС		Высокая
Крем	Фен (слабая) ●	Пленки	Увлажнение Восстановление	Grigri Wonder hair cream  Крем-спрей		 Aqua, Cetyl Alcohol,  PPG-3 Caprylyl Ether, Hydrolyzed Silk Protein, Panthenol, Hydrolyzed Keratin, Lactic Acid, Triethanolamine, Phenoxyethanol, Behenamidopropyl Dimethylamide,  Bis (C13-15 Alkoxy) PG. Amodimethicone, Glycerin, Lauryl Lactate, Dimethicone, Ethylhexylglycerin, Parfum.	РФ/СНГ	Можно кудряшкам	Средняя
Спрей	Фен ●	Антистатик, пленки	Поверхностный уход 	Hair Company Professional  Hair Light Keratin Care Spray Спрей-уход с кератином 		Aqua [Water], Myristyl alcohol, Quaternium-80, Cyclopentasiloxane, Cetrimonium chloride, Parfum [Fragrance], Amodimethicone, Imidazolidinyl urea, Phenoxyethanol, Dimethiconol, Ethylhexylglycerin,Trideceth-10, Benzophenone-4, Citric acid, Hydrolyzed keratin, Caramel.	ЕС	Универсальный спрей, кудряшкам можно пробовать	Средняя
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Hair Sekta  NE MOCHALKA Многофункциональный уход для всех типов волос		Aqua, Cocos Nucifera (Coconut) Oil, Myristyl Alcohol, Amodimethicone, Phenyl Trimethicone, Propylene Glycol Dicaprylate/Dicaprate, Behentrimonium Chloride, Polyquaternium-37, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Glycerin, Cystoseira Compressa Extract, Zea Mays Extract, PPG-1 Trideceth-6, C11-15 Alketh-7, Laureth-9, Trideceth-12, Cetrimonium Chloride, Tetrasodium EDTA, Lactic Acid, Dehydroacetic Acid, Sodium Benzoate, Gluconolactone, Calcium Gluconate, Benzyl Alcohol, Ethylhexylglycerin, Phenoxyethanol, Parfum.	РФ/СНГ	Можно пробовать кудряшкам, если нет проблем с завитком	Средняя
Спрей	Браш ●●	Антистатик, пленки, защита от внешних факторов	Комплексный уход (увлажнение, питание, восстановление)	Indola  Hydrate #2 care Innova  Увлажняющий спрей-кондиционер для волос		Aqua (Water, Eau) · Cyclomethicone · Phenyl Trimethicone · Dimethiconol · Cetyl PEG/PPG-10/1 Dimethicone · Polyquaternium-16 · Simmondsia Chinensis (Jojoba) Seed Oil · Dimethylsilanol Hyaluronate · Panthenol · Hydrolyzed Keratin · Steardimonium Hydroxypropyl Hydrolyzed Keratin · Parfum (Fragrance) · Citric Acid · Cetrimonium Chloride · Sodium Benzoate · Linalool · Citronellol · Butylphenyl Methylpropional · Alpha-Isomethyl Ionone · Phenoxyethanol · Geraniol · Potassium Sorbate	ЕС	Не подходит для кудряшек	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	INEBRYA  Pro color perfect serum Масло для окрашенных волос		Cyclopentasiloxane, Dimethicone, Dimethiconol, Caprylic/Capric Triglyceride, Parfum, Benzophenone-3, Camellia Oleifera Seed Oil, Diamond Powder, Maltodextrin, Ruby powder, Aqua, Bumetrizole, Lycium Barbarum Fruit Extract, Citric Acid, CI 26100, C.I. 60725, Sodium Benzoate, Potassium Sorbate, Silica, Acetyl heptapeptide-9 (and) Colloidal Gold.	ЕС	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Insight  Insight Styling Liquid Crystals  Жидкие кристаллы для термозащиты волос 		Cyclopentasiloxane, Cyclohexasiloxane, Dimethiconol, Sesamum Indicum (Sesame) Seed Oil, Linum Usitatissimum (Linseed) Seed Oil, Parfum/Fragrance.	ЕС	Кудряшкам не подойдет	Высокая
Крем	Нет	Антистатик, пленки, комплексный уход длительного воздействия	Комплексный уход (увлажнение, питание, восстановление)	Jurassic Spa  "Жидкий шелк"  Сыворотка несмываемая для волос		Вода очищенная (Aqua); гидролизованный шелк (Hydrolyzed Silk); гидролизованный протеиновса (Hydrolyzed Oat Protein); эмолент из оливкового масла* (полиглицерил-6 оливат); аргинин (L-аргинин); растительного кондиционера* (дистеароилэтилдимония хлорид); комплекс аминокислот: цистеин, глутамин, глицин, метионин, таурин, пролин, гидроксипролин (цистеин, глютамин, глицин, метионин, таурин, пролин, гидроксипролин); эмолент из кокосового масла* (изопропилмиристат); цетеариловый спирт (Cetearyl Alcohol); глюкозамин (глюкозамин); сквалан (Squalane); катионный гуар* (гидроксипропилтримониум хлорид); гликозаминогликаны (Glycosaminoglycans); мягкий консервант Нипагард SCE* (Sorbitan Caprylate, Propanediol, Benzoic Acid), гиалуроновая кислота (Hyaluronic Acid); поликватерниум-10 (Polyquaternium 10); аскорбиновая кислота (L-аскорбиновая кислота); лимонная кислота (Citric Acid); отдушка* (Parfum).	РФ/СНГ	Идеально подходит кудрявым волосам и сильноповрежденным	Средняя
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Kapous Professional Профессиональное масло ARGAN OIL  для ухода за волосами		CYCLOPENTASILOXANE, DIMETHICONOL, ARGANIA SPINOSA KERNEL OIL, ETHYLHEXYL METHOXYCINNAMATE, LINUM USITATISSIMUM (LINSEED) SEED OIL, CI 47000 (YELLOW 11), CI 26100 (RED 17)	ЕС		Высокая
Спрей	Фен ●	Антистатик, пленки	Увлажнение Питание	Kapous Professional Thermo Barrier  Лосьон для термозащиты волос		Aqua (Water), Alcohol Denat., Propylene Glycol, Cetrimonium Chloride, VP/DMAPA Acrylates Copolymer, PEG-40 Hydrogenated Castor Oil, Parfum (Fragrance), Hydrolyzed Wheat Protein, Phenoxyethanol, Benzyl Alcohol, Potassium Sorbate, Tocopherol, Glycerin, Hydrolyzed Ceratonia Siliqua Seed Extract, Zea Mays (Corn) Starch, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-7, Citric Acid, Benzyl Salicylate, Linalool, Limonene, Citronellol, Eugenol, Anise Alcohol	ЕС	Может подсушивать волосы, кудряшкам можно пробовать, если нет излишней сухости.	Высокая
Сыворотка	Браш ●●	Пленки, защита от внешних факторов	Поверхностный уход 	Kapous Professional  Сыворотка двухфазная для волос с маслами Авокадо и Оливы		Aqua (Water), Cyclopentasiloxane, Dimethicone, PEG-14 Dimethicone, Phenyl Trimethicone, Parfum (Fragrance), Citric Acid, Polyquaternium-11, Polyquaternium-6, Polysorbate-20, Disodium EDTA, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Phenoxyethanol, Ethylhexylglycerin, CI 19140 (Yellow 5), CI 42090 (Blue 1), Parfum (Fragrance).	ЕС	Кудряшкам не подойдет	Высокая
Крем	Браш ●●	Пленки, защита от внешних факторов	Питание	Kapous Professional  Cream Silk  Кремовый шёлк для волос		Aqua (Water), Cyclopentasiloxane, Dimethiconol, Gossypium Herbaceum (Cotton) Seed Oil, Phenoxyethanol, Parfum (Fragrance), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Potassium Sorbate, Isohexadecane, Ethylhexyl Methoxycinnamate, Sodium Benzoate, Lecithin, Ethylhexylglycerin, Niacinamide, Tocopheryl Acetate, Sodium Hydroxide, Polysorbate 80, Tocopherol, Ascorbyl Palmitate, Limonene, Linalool, Benzyl Salicylate, Citronellol, Citric Acid, Hydroxycitronellal, Geraniol, Alph-Isomethyl Ionone, Ci 47005 (Yellow 10), Ci 16035 (Red 40)	ЕС	Кудряшкам не подойдет	Высокая
Спрей	Браш ●●	Антистатик, пленки, защита от внешних факторов	Поверхностный уход 	Kapous Professional  Dual Renascence 2 phase  Увлажняющая сыворотка для восстановления волос		aqua (water), cyclopentasiloxane, dimethicone, cetrimonium chloride, sodium chloride, polysorbate 20, phenyl trimethicone, cetyl peg/ppg-10/1 dimethicone, dimethiconol, lactic acid, amodimethicone, polyquaternium-28, benzophenone-4, hydrolyzed keratin, caprylyl glycol, ci 42090 (fd&c blue 1), phenoxyethanol, ethylhexylglycerin, potassium sorbate, sodium benzoate, limonene,  benzyl benzoate, hexyl cinnamal, linalool, benzyl salicylate, citronellol, hydroxycitronellal, eugenol, parfum (fragrance)	ЕС	Кудряшкам не подойдет	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	KAYPRO  Argan Oil  Масло-спрей против сухости волос		Dimethicone, Cyclopentasiloxane, Parfum (Fragrance), Argania Spinosa Kernel Oil, Benzophenone 3, Linum Usitatissimum Seed Oil (Linum Usitatissimum (Linseed) Oil), Aqua (Water), Propylene Glycol, Hydrolyzed Silk	ЕС	Не подойдет кудряшкам	Высокая
Спрей	Нет	Антистатик	Поверхностный уход 	KAYPRO  Argan Oil 10 в 1  Кондиционер  питательный		Aqua (Water), Cetearyl Alcohol, Behentrimonium chloride, Phenoxyethanol, Quaternium 82, Methoxy PEG/PPG – 7/3 Aminopropyl Dimethicone, Parfum (Fragrance), Stearamidopropyl Dimethylamine, Isopropyl Alcohol, Ethylhexylglycerin, Citric Acid, Butylphenyl Methylpropional, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Benzyl Benzoate, Argania Spinosa Kernel Oil, Linum Usitatissimum Seed Oil (Linum Usitatissimum (Linseed) Oil), Polyamide-2, Propylene Glycol, Hydrolyzed Silk	ЕС	Кудряшкам можно пробовать	Высокая
Молочко	Фен ●	Антистатик, пленки	Питание	Kemon Actyva Linfa Solare Protection Milk Солнцезащитное молочко для волос и кожи купить		aqua (water/eau), ethylhexyl salicylate, cyclopentasiloxane, butyl methoxydibenzoylmethane, octocrylene, lauryl lactate, caprylic/capric triglyceride, decyl oleate, glycerin, polysorbate 20, sodium acrylates/beheneth 25 methacrylate crosspolymer, hydrogenated polydecene, phenoxyethanol, peg-33, peg-8 dimethicone, decylene glycol, peg-14, tocopheryl acetate, polyquaternium-7, guar hydroxypropyltrimonium chloride, 1,2-hexanediol, polyquaternium-39,  lauryl glucoside, helianthus annuus seed oil (helianthus annuus (sunflower) seed oil), disodium edta, dmdm hydantoin, arnica montana flower extract, bht, bha, parfum (fragrance), linalool, limonene, coumarin, citral, benzyl salicylate.	ЕС	Можно пробовать кудряшкам	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	KENSUKO KERATIN Hair Oil Масло для волос		Cyclopentasiloxane, Dimethicone, Mineral Oil, Cyclohexasiloxane, Parfum, Argania Spinosa Kernel Oil, Camellia Sinensis Seed Oil, Hydrolyzed Keratin, Ci 12700.	Япония 		Высокая
Спрей	Фен ●	Антистатик, пленки	Поверхностный уход 	Keune Style Humidity Shield Спрей защита от влаги № 13		Alcohol Denat., Dimethyl Ether, Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer, Isopropyl Alcohol, Aminomethyl Propanol, Dipropylene Glycol, Parfum (Fragrance), Dimethicone, Trisiloxane, Benzophenone-4	ЕС	Если волос сухой, лучше не использовать. Для кудряшек не подойдет, если нужно сохранить завиток.	Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Поверхностный уход 	Keune Style Smooth Defrizz Serum		Dimethicone, Trisiloxane, Dimethiconol, Isodecyl Neopentanoate, Tocopheryl Acetate, Dipropylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Methoxycinnamate, Parfum (Fragrance), Aqua (Water), Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Phenoxyethanol, Potassium Sorbate.	ЕС		Высокая
Масло	Утюг ●●●	Пленки, защита от внешних факторов	Питание	Keune  CARE Sun Shield Oil Масло для волос Солнечная линия		Alcohol Denat., Dimethicone, Octyldodecanol, Trisiloxane, Ethylhexylmethoxycinnamate, Aqua (Water), Squalane, Tocopheryl Acetate, Parfum (Flavor), Propylene Glycol, Diethylamino-Hydroxybenzoyl Glycerol Glycerol -Glycerin, Denat. , Saccharomyces / Fermentation Of Zinc, Saccharomyces / Fermentation Of Copper, Leaf Extract Of Ginkgo Biloba, Saccharomyces / Fermentation Of Silicon, Alpha-Isomethylionone, Benzyl Salicylate, Citronellol, Hexylcinnamal, Limonene, Linalool	ЕС	Не подойдет кудряшкам, может подсушивать волосы	Высокая
Молочко	Браш ●●	Антистатик, пленки, защита от внешних факторов	Поверхностный уход 	Kezy  Magic Life Smooth  Молочко разглаживающее с термозащитой		Aqua, Cyclopentasiloxane, Propylene Glycol, Dimethiconol, Peg/ppg-18/18 Dimethicone, Polyquaternium-37, Amodimethicone, Propylene Glycol Dicaprylate/dicaprate, Phenoxyethanol, Helianthus Annuus Seed Extract, Parfum, Hydroxypropylguar, Behentrimonium Chloride, Laureth-23, Ppg-1 Trideceth-6, Laureth-4, Ethylparaben, Methylparaben, Isopropyl Alcohol, Tocopheryl Acetate, Propylparaben, Trideceth-12, Glycerin, Cetrimonium Chloride, Sodium Lauroyl Lactylate, Decyl Glucoside, Ceramide Np, Ceramide Ap, Phytosphingosine, Xanthan Gum, Cholesterol, Carbomer, Ceramide Eop	ЕС	Кудряшкам не подойдет	Высокая
Сыворотка	Фен ●	Антистатик, смягчение, распутывание, пленки	Поверхностный уход 	KHARISMA VOLTAGE Hair Serum Увлажняющая cыворотка для волос		Aqua,Polyquaternium-7,Dimethicone, Dimethiconol,PEG-12Dimethicone,Polyquaternium-37,Glycerin,Propylene GlycolDicaprylate, PPG-1 Trideceth-6, CetylAlcohol, Hydroxyethylcellulose,Citric Acid, Fragrance, Dmdm Hydantoin.	Китай		Средняя
Сыворотка	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение	Kharisma Voltage  Daily Nutritive Сыворотка для волос питательная		Aqua, Polyquaternium-7, Dimethicone, Dimethiconol, PEG-12Dimethicone, Polyquaternium-37, Glycerin, Propylene Glycol Dicaprylate, PPG-1 Trideceth-6, Cetyl Alcohol, Hydroxyethylcellulose, Citric Acid, Fragrance, Dmdm Hydantoin	Китай	Кудряшкам не подойдет	Средняя
Спрей	Фен ●	Антистатик, пленки, защита от внешних факторов	Увлажнение	Kharisma Voltage  Leave in Aqua Спрей для волос увлажняющий		Aqua, Propylene Glycol, Dimethiconol, Cetrimonium Chloride, Glycerin, Hydrolyzed Collagen,Citric Acid, Fragrance, Methylchloroisothiazolinone,  Methylisothiazolinone	Китай	Не подходит для кудряшек	Средняя
Сыворотка	Нет	Антистатик, смягчение, распутывание, пленки	Комплексный уход (увлажнение, питание, восстановление)	Kharisma Voltage  Salon Professional Series  Несмываемый уход для волос с кератином		aqua, lactic acid, cetearyl alcohol, cetyl alcohol, glycerin, keratin, hydroxypropyltrimonium hydrolyzed wheat protein, hydrolyzed collagen, brassicamidopropyl dimethylamine, steartrimonium chloride, hydroxyethylcellulose, phenoxyethanol, fragrance, cocodimonium hydroxypropyl hydrolyzed wheat protein, alcohol, dmdm hydantoin, methylparaben, citric acid, propylparaben, ethylhexylglycerin	Китай	Можно использовать кудряшкам	Средняя
